name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url,amount,amount_unit,quantity,quantity_unit
"마니커 1등급 닭다리 북채 (냉장), 1kg, 1개",,,14750,"(100g당1,475원)",내일(일) 새벽도착 보장,9178,738,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/22/18/9/96088f38-eb71-4f68-9ddc-fe134e3d47d9.jpg,1.0,kg,1.0,개
"올품 토종대왕 닭볶음탕용 닭고기 (냉장), 1kg, 1팩",,,10990,"(100g당1,099원)",내일(일) 새벽도착 보장,920,550,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/12/09/17/5/a2c2cadd-9164-4ca4-a67b-d7ceac8aa9f9.jpg,1.0,kg,1.0,팩
"올품 닭가슴살 진공팩 (냉장), 1kg, 1개",16,13700,11400,"(100g당1,140원)",내일(일) 새벽도착 보장,1010,495,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/27/14/2/398a36a2-5f06-4f60-8ee1-f2d16b6c01c8.jpg,1.0,kg,1.0,개
"페르디가오 브라질산 닭다리살 (냉동), 2kg, 6개",,,55680,(100g당464원),내일(일) 새벽도착 보장,5136,2784,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/03/05/16/7/b1c68b27-466e-4026-8323-3994beb9bbe0.jpg,2.0,kg,6.0,개
"한강식품 무항생제 인증 자이언트 통닭 (냉장), 1451g, 1개",,,10480,(100g당722원),내일(일) 새벽도착 보장,1536,524,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/05/18/7/b6f58b32-1c14-4cf3-9b2d-488de0e4d6e4.jpg,1451.0,g,1.0,개
"사조원 육계 11호 두마리 (냉장), 1050g, 2개",13,14900,12930,(100g당616원),내일(일) 새벽도착 보장,5371,646,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/27/10/5/e169ab81-f0d1-4945-9bf1-31c8c8c1db8c.jpg,1050.0,g,2.0,개
"마니커 무항생제 인증 닭터의자연 닭다리 북채 (냉장), 1kg, 1개",30,19500,13650,"(100g당1,365원)",내일(일) 새벽도착 보장,791,683,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/562679103642764-8cd91a3e-01ba-4794-9edf-6d0510c98583.jpg,1.0,kg,1.0,개
"하림 자연실록 동물복지 통닭 (냉장), 1050g, 1팩",28,13990,9990,(100g당951원),내일(일) 새벽도착 보장,219,500,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5346422014204344-7d50d65f-3cec-43ce-8654-4821d9f5fcfb.jpg,1050.0,g,1.0,팩
"목우촌 무항생제 인증 IQF 아랫날개 (냉동), 1kg, 1개",8,14000,12750,"(100g당1,275원)",내일(일) 새벽도착 보장,647,638,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/22/15/8/061d1aa0-49a6-43b1-a73a-5e883ac6e08a.jpg,1.0,kg,1.0,개
"하림 IFF 닭 안심살 (냉동), 2kg, 1개",1,19000,18810,(100g당941원),내일(일) 새벽도착 보장,6623,890,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2268749378347033-0fab73d4-6e26-465d-8451-0f6d75ce8687.jpg,2.0,kg,1.0,개
"하림 자연실록 무항생제 인증 닭윙 아랫날개 (냉장), 350g, 1개",,,7960,"(100g당2,274원)",내일(일) 새벽도착 보장,11907,398,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2262563484486665-d625f87e-9078-4a69-9e07-b92b08430681.jpg,350.0,g,1.0,개
"올품 무항생제 인증 자연이키운닭 봉 (냉장), 600g, 1팩",,,12990,"(100g당2,165원)",내일(일) 새벽도착 보장,332,650,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1071016663706869-f92c60db-c5ca-4ba7-8bfd-0b33c3f1dfe3.jpg,600.0,g,1.0,팩
"목우촌 무항생제 인증 닭윗날개 봉 (냉장), 400g, 2팩",,,14980,"(100g당1,873원)",내일(일) 새벽도착 보장,43,749,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2361568676029201-613ee7f0-af47-4b5e-a2d9-41d0d3352214.jpg,400.0,g,2.0,팩
"곰곰 닭안심 (냉장), 600g, 1개",,,8000,"(100g당1,333원)",내일(일) 새벽도착 보장,537,400,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7292377066872088-34f9d93a-2841-4da3-aaa5-c8e445c69978.jpg,600.0,g,1.0,개
"하림 토종닭 닭볶음탕용, 1000g, 1개",,,9500,(100g당950원),내일(일) 새벽도착 보장,4663,475,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2106012354254038-9b196feb-fc01-416c-994a-7f6bb1cb7b7d.jpg,1000.0,g,1.0,개
"수월한 국내산 장각정육 (냉동), 1kg, 1개",,,16840,"(100g당1,684원)",내일(일) 새벽도착 보장,491,842,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1963108323544680-63940e2b-0d00-4691-a8f3-f5e5bdaeadaa.jpg,1.0,kg,1.0,개
"곰곰 유황먹여 키운 두마리 생닭 (냉장), 1.4kg, 1개",,,8890,(100g당635원),내일(일) 새벽도착 보장,1710,445,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2271699916492304-01aae0d2-c52b-4f7e-9b47-00dccff6543e.jpg,1.4,kg,1.0,개
"하림 IFF 핑크솔트 한입 닭다리살 정육 (냉동), 800g, 1개",7,13900,12900,"(100g당1,613원)",내일(일) 새벽도착 보장,296,645,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/04/18/2/5e321cde-bb52-40fd-bf35-b0c7eb44de8e.jpg,800.0,g,1.0,개
"올품 토종대왕 백숙용 토종닭 (냉장), 1150g, 1팩",1,15800,15640,"(100g당1,360원)",내일(일) 새벽도착 보장,4125,782,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/593102212557449-5f377855-b856-4373-a79a-57c6dd504d36.jpg,1150.0,g,1.0,팩
"곰곰 닭윙 (냉장), 600g, 1개",,,10230,"(100g당1,705원)",내일(일) 새벽도착 보장,643,511,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/726395139314182-a5f35919-e3b8-4c8f-a755-bdb413dc6bd8.jpg,600.0,g,1.0,개
"곰곰 닭가슴살 (냉장), 600g, 1개",13,8490,7360,"(100g당1,227원)",내일(일) 새벽도착 보장,1494,368,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5177702649501854-7953aadc-4cce-46ab-aad3-d2beeb4ffcb8.jpg,600.0,g,1.0,개
"하림 닭안심 (냉장), 600g, 1팩",15,12900,10930,"(100g당1,822원)",내일(일) 새벽도착 보장,3969,546,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/18/15/1/b66956ba-c183-4763-8904-11364a0bcb59.jpg,600.0,g,1.0,팩
"하림 자연실록 동물복지 인증 소금구이 닭갈비 (냉장), 400g, 1개",,,8900,"(100g당2,225원)",내일(일) 새벽도착 보장,74,445,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zhp7wrkz/b8a39252c9f64bab988de9dba8aa4f46.jpg,400.0,g,1.0,개
"소보꼬 한우 볶음고추장, 250g, 1개",4,17500,16800,"(100g당6,720원)",내일(일) 새벽도착 보장,74,840,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3250388392763748-3a97d287-a814-416e-9f46-88e8f59cce64.png,250.0,g,1.0,개
"청정원순창 직화맛 쇠고기 볶음고추장, 60g, 3개",,,6900,"(100g당3,833원)",내일(일) 새벽도착 보장,123,345,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/10/16/5/8f7ad28e-c7cb-46b1-8de6-afaea501d3f5.jpg,60.0,g,3.0,개
"주비푸드 양념듬뿍 초고추장, 500g, 1개",,,7200,"(100g당1,440원)",내일(일) 새벽도착 보장,6,360,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hb9g2p6q/bde51ce201694039ad760d37008634d5.jpg,500.0,g,1.0,개
"에이치쿡 비빔 초고추장 소스, 2kg, 1개",,,10900,(100g당545원),내일(일) 새벽도착 보장,6,463,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/514509552482175-78a44bd3-1a26-4c28-84bc-6591ea3acd9d.jpg,2.0,kg,1.0,개
"담가 순창일품 초고추장, 300g, 1개",2,6970,6790,"(100g당2,263원)",내일(일) 새벽도착 보장,130,304,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/26/14/3/b879f010-09c3-41d0-90a8-b9ce8f7cc475.jpg,300.0,g,1.0,개
"오뚜기 오쉐프 만능비빔장, 1개, 2kg",,,9000,(100g당450원),내일(일) 새벽도착 보장,67,450,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/04/14/1/073205b0-b531-43ac-84cf-e293677a5b68.jpg,1.0,개,2.0,kg
"청정원순창 초고추장, 2.05kg, 1개",56,17500,7540,(100g당368원),내일(일) 새벽도착 보장,26,377,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4194134605973706-162e2830-8176-4980-b33e-6cda2340e30e.jpg,2.05,kg,1.0,개
"잘식비 해운대 양념초장, 350g, 1개",3,3500,3370,(100g당963원),내일(일) 새벽도착 보장,35,169,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/d4jongir/4d6c7309277246409eb699f039a84fba.jpg,350.0,g,1.0,개
"움트리 양념 초장, 1kg, 1개",,,5490,(100g당549원),내일(일) 새벽도착 보장,545,275,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6953784888993645-8c5cd2d6-0182-4a1e-a9b6-74d118f89770.jpg,1.0,kg,1.0,개
"팔도 비빔장 시그니처, 1개, 380g",,,5560,"(100g당1,463원)",내일(일) 새벽도착 보장,1944,278,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3120667263682115-0a029e3b-e203-4fd7-880e-ec8f593a430b.jpg,1.0,개,380.0,g
"오뚜기 비빔장, 500g, 1개",5,4860,4590,(100g당918원),내일(일) 새벽도착 보장,646,230,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/128166133587560-e3243885-69e7-41e5-9aec-50a83d9b79dc.jpg,500.0,g,1.0,개
"빽쿡 백종원의 만능 볶음고추장소스, 150g, 1개",,,3980,"(100g당2,653원)",내일(일) 새벽도착 보장,346,199,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/599371668483556-119ce308-2792-4c46-a523-dc837d7fe12a.jpg,150.0,g,1.0,개
"풀무원 초고추장, 320g, 1개",20,4750,3800,"(100g당1,188원)",내일(일) 새벽도착 보장,1306,190,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6927408976498145-195baf8d-db1d-4544-b952-c254f21af88c.jpg,320.0,g,1.0,개
"청정원순창 초고추장, 500g, 1개",43,5800,3300,(100g당660원),내일(일) 새벽도착 보장,5289,165,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4194430520723658-41764c11-569d-445a-8ab3-4494beed4e71.jpg,500.0,g,1.0,개
"오뚜기 간단한끼 볶음고추장 참치, 90g, 1개",13,2250,1950,"(100g당2,167원)",내일(일) 새벽도착 보장,8,98,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/01/04/14/7/6b662138-22ec-4b2a-82df-0ff385a75c11.jpg,90.0,g,1.0,개
"잘식비 해운대 양념초장, 350g, 1개",3,3500,3370,(100g당963원),,,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/d4jongir/4d6c7309277246409eb699f039a84fba.jpg,350.0,g,1.0,개
"주비푸드 양념듬뿍 초고추장, 500g, 1개",,,7200,"(100g당1,440원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hb9g2p6q/bde51ce201694039ad760d37008634d5.jpg,500.0,g,1.0,개
"풀무원 초고추장, 320g, 1개",20,4750,3800,"(100g당1,188원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6927408976498145-195baf8d-db1d-4544-b952-c254f21af88c.jpg,320.0,g,1.0,개
"순창문옥례식품 순창 초고추장, 300g, 1개",,,4860,"(100g당1,620원)",,,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63101649978857-6e8d15c3-ec0a-4256-a4ba-dcbe8d5a89d2.jpg,300.0,g,1.0,개
"담가 순창일품 초고추장, 300g, 1개",2,6970,6790,"(100g당2,263원)",,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/26/14/3/b879f010-09c3-41d0-90a8-b9ce8f7cc475.jpg,300.0,g,1.0,개
"에이치쿡 비빔 초고추장 소스, 2kg, 1개",,,10900,(100g당545원),,4,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/514509552482175-78a44bd3-1a26-4c28-84bc-6591ea3acd9d.jpg,2.0,kg,1.0,개
"사랑담은 초고추장, 310g, 1개",,,8200,"(100g당2,645원)",,12,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4588390405008532-a202f746-f3eb-4f42-9f09-342f293f7c41.jpg,310.0,g,1.0,개
"순창문옥례식품 순창 초고추장, 300g, 1개",,,4860,"(100g당1,620원)",,2933,,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/63101649978857-6e8d15c3-ec0a-4256-a4ba-dcbe8d5a89d2.jpg,300.0,g,1.0,개
"사랑담은 초고추장, 310g, 1개",,,8200,"(100g당2,645원)",,78,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4588390405008532-a202f746-f3eb-4f42-9f09-342f293f7c41.jpg,310.0,g,1.0,개
"무화당 알룰로스 초고추장, 220g, 1개",,,11740,"(100g당5,336원)",,13,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4403623406441843-4471e379-b86c-4217-bd24-45f2d00360ad.jpg,220.0,g,1.0,개
"움트리 양념 초장, 2kg, 1개",,,8730,(100g당437원),,11,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1208390631776342-2d8f02c8-2cca-4ddb-8c7d-e5ca146269f8.jpg,2.0,kg,1.0,개
"곰표 부산회초장, 1kg, 1개",,,6130,(100g당613원),,4,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zb2oacje/2ab19c4f111847a1bd0cd9a096a81a11.png,1.0,kg,1.0,개
"첫맛 만능 비빔 무침 양념, 2.2kg, 1개",,,11560,(100g당525원),,116,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/893401448123354-ff57eb9c-05c4-4d2f-9775-23150758cb23.jpg,2.2,kg,1.0,개
"움트리 실장님 회초장, 1kg, 1개",4,4790,4560,(100g당456원),,1081,,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2106049843220080-f5642f5a-97db-4fd5-8c15-213f004b4f4b.jpg,1.0,kg,1.0,개
"첫맛 만능 비빔 무침 양념, 1.1kg, 1개",11,7070,6270,(100g당570원),,37,,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/803689631140999-2e7068fd-5004-47b2-9f38-f1f1f26dd110.jpg,1.1,kg,1.0,개
"움트리 실장님 회초장, 13kg, 1개",1,37830,37200,(100g당286원),,78,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1830858047486692-812c1014-e575-48a3-b9e8-1ee4352da8f5.jpg,13.0,kg,1.0,개
"움트리 실장님 회초장, 2kg, 1개",1,8220,8080,(100g당404원),,265,,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2106050743162055-8bf83c2c-236d-482b-bcd5-0bec094324b9.jpg,2.0,kg,1.0,개
"청정원순창 초고추장, 300g, 1개",24,3800,2880,(100g당960원),,494,,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/02/06/10/1/7f05ff7d-0b02-4806-b9a0-3f5c89784efc.jpg,300.0,g,1.0,개
